AB_CLAIM_ID,AB_POLICY_NUMBER,AB_DATE_SINISTRE,AB_MONTANT_ESTIME,AB_STATUT_SINISTRE,AB_DESCRIPTION
1,AB-000006,2024-11-14 05:56:19,11987.7,CLOTURE,Bris de glace suite a un impact de gravillon sur autoroute.
2,AB-000010,2026-05-06 20:35:45,310.81,EN_COURS,Bris de glace suite a un impact de gravillon sur autoroute.
3,AB-000013,2026-06-24 06:30:36,11490.21,EN_COURS,Vehicule endommage par la grele a Couturierboeuf.
4,AB-000014,2026-06-20 03:49:14,9940.38,EN_COURS,Intervention chirurgicale d'urgence.
5,AB-000015,2026-07-27 18:17:47,10633.64,REJETE,Vol de materiel informatique dans les locaux de l'entreprise a Diasnec.
6,AB-000025,2024-08-18 21:38:34,8313.85,REJETE,Degat des eaux dans les bureaux suite a une fuite.
7,AB-000028,2025-04-23 13:17:27,14483.77,CLOTURE,Degat des eaux suite a une fuite de la machine a laver.
8,AB-000032,2026-04-23 03:27:11,6239.57,EN_COURS,Vehicule vole sur un parking a Colin-les-Bains dans la nuit.
9,AB-000033,2025-09-08 07:04:38,9604.78,REJETE,Incendie ayant endommage une partie de l'entrepot.
10,AB-000036,2025-02-26 07:59:59,2932.97,CLOTURE,"Cambriolage avec effraction, vol de materiel electronique."
11,AB-000039,2025-08-01 12:06:55,5979.16,CLOTURE,Vol de materiel informatique dans les locaux de l'entreprise a Sainte Vincentnec.
12,AB-000045,2025-11-21 00:15:51,11500.84,EN_COURS,Fuite au niveau de la toiture suite a de fortes pluies.
13,AB-000047,2026-08-12 07:49:15,4053.98,EN_COURS,Tempete ayant arrache une partie de la toiture a Arnaud-sur-Mer.
14,AB-000049,2025-12-08 02:36:17,1303.78,EN_COURS,Vol de materiel informatique dans les locaux de l'entreprise a Lambertboeuf.
15,AB-000052,2026-03-12 12:37:25,12493.4,DECLARE,Tempete ayant arrache une partie de la toiture a Sainte Théophileboeuf.
16,AB-000057,2025-08-10 02:39:32,4743.4,CLOTURE,Vol de materiel informatique dans les locaux de l'entreprise a Saint Christine.
17,AB-000065,2025-05-27 10:59:42,3039.35,EN_COURS,Degat des eaux suite a une fuite de la machine a laver.
18,AB-000066,2026-04-30 15:09:49,1117.47,REJETE,Bris de glace suite a un impact de gravillon sur autoroute.
19,AB-000075,2026-01-29 05:49:17,5528.06,EN_COURS,Tempete ayant arrache une partie de la toiture a Charrier-les-Bains.
20,AB-000079,2024-03-28 22:40:43,4848.4,DECLARE,Incendie ayant endommage une partie de l'entrepot.
21,AB-000083,2026-08-22 00:18:54,10056.4,CLOTURE,Degat des eaux suite a une fuite de la machine a laver.
22,AB-000092,2025-01-16 04:22:58,11699.88,CLOTURE,Incendie ayant endommage une partie de l'entrepot.
23,AB-000096,2026-06-04 14:33:32,14778.47,EN_COURS,"Cambriolage avec effraction, vol de materiel electronique."
24,AB-000101,2024-11-21 23:14:29,13346.05,CLOTURE,Incendie ayant endommage une partie de l'entrepot.
25,AB-000107,2025-03-27 09:44:58,1701.71,EN_COURS,Incendie ayant endommage une partie de l'entrepot.
26,AB-000108,2026-08-19 22:56:05,7613.41,CLOTURE,Vehicule endommage par la grele a Texier.
27,AB-000111,2026-05-31 08:46:34,6306.45,CLOTURE,"Collision avec un autre vehicule sur Dupuis-sur-Mer, degats importants a l'avant."
28,AB-000112,2025-12-20 07:41:10,8631.3,DECLARE,Degat des eaux dans les bureaux suite a une fuite.
29,AB-000131,2025-01-14 21:34:18,14912.44,DECLARE,Litige avec un client suite a un defaut de livraison.
30,AB-000138,2026-06-28 09:27:07,4577.46,DECLARE,Fuite au niveau de la toiture suite a de fortes pluies.
31,AB-000146,2025-05-22 11:02:36,3527.28,EN_COURS,Litige avec un client suite a un defaut de livraison.
32,AB-000148,2026-03-31 07:51:01,3358.92,REJETE,Incendie d'origine electrique dans la cuisine.
33,AB-000153,2026-07-08 18:43:50,240.81,EN_COURS,Vol de materiel informatique dans les locaux de l'entreprise a Monnier-sur-Mer.
34,AB-000155,2025-11-22 01:38:03,12536.29,REJETE,Vehicule endommage par la grele a Saint Hélène.
35,AB-000160,2026-01-20 22:16:16,8357.88,CLOTURE,Litige avec un client suite a un defaut de livraison.
36,AB-000162,2026-04-07 01:56:19,2591.39,CLOTURE,"Accrochage en stationnement, retroviseur casse."
37,AB-000163,2026-04-26 13:44:34,1693.89,CLOTURE,Vol de materiel informatique dans les locaux de l'entreprise a Sainte Cécile.
38,AB-000169,2025-04-24 21:46:07,14755.76,REJETE,Incendie d'origine electrique dans la cuisine.
39,AB-000177,2023-03-30 09:42:15,2095.82,DECLARE,Vehicule vole sur un parking a Clément dans la nuit.
40,AB-000178,2023-05-01 11:08:22,5817.28,EN_COURS,Litige avec un client suite a un defaut de livraison.
41,AB-000180,2024-08-05 19:17:11,559.82,EN_COURS,Incendie ayant endommage une partie de l'entrepot.
42,AB-000194,2023-10-27 22:29:17,12108.76,DECLARE,Consultation specialiste suite a un accident sportif.
43,AB-000204,2025-12-02 04:54:15,14299.94,CLOTURE,"Cambriolage avec effraction, vol de materiel electronique."
44,AB-000206,2026-03-06 16:09:55,8651.29,DECLARE,"Cambriolage avec effraction, vol de materiel electronique."
45,AB-000210,2026-02-16 04:41:23,5587.28,REJETE,Vehicule vole sur un parking a Renard dans la nuit.
46,AB-000212,2025-09-05 09:49:13,13826.99,REJETE,Incendie d'origine electrique dans la cuisine.
47,AB-000218,2026-08-22 21:19:02,11736.3,EN_COURS,"Cambriolage avec effraction, vol de materiel electronique."
48,AB-000222,2023-02-04 18:36:52,4268.66,EN_COURS,Litige avec un client suite a un defaut de livraison.
49,AB-000227,2024-02-10 21:30:20,7944.08,DECLARE,Consultation specialiste suite a un accident sportif.
50,AB-000244,2025-08-17 19:10:02,10278.57,EN_COURS,"Cambriolage avec effraction, vol de materiel electronique."
51,AB-000250,2025-06-02 18:57:15,12377.14,REJETE,Consultation specialiste suite a un accident sportif.
52,AB-000257,2024-10-22 19:00:33,14991.5,CLOTURE,Incendie ayant endommage une partie de l'entrepot.
53,AB-000265,2024-10-13 14:40:56,6835.59,EN_COURS,"Cambriolage avec effraction, vol de materiel electronique."
54,AB-000266,2025-11-25 07:10:55,3071.27,CLOTURE,Vol de materiel informatique dans les locaux de l'entreprise a Durand.
55,AB-000269,2025-11-27 03:56:20,14226.46,REJETE,Vol de materiel informatique dans les locaux de l'entreprise a Delattre.
56,AB-000276,2026-05-12 13:39:27,3912.79,EN_COURS,Frais medicaux suite a une fracture du poignet.
57,AB-000278,2026-07-13 07:41:01,5427.16,REJETE,Fuite au niveau de la toiture suite a de fortes pluies.
58,AB-000284,2026-03-22 11:41:46,9685.43,REJETE,Vehicule vole sur un parking a Schmitt-les-Bains dans la nuit.
59,AB-000290,2024-09-02 12:22:02,6275.61,DECLARE,Tempete ayant arrache une partie de la toiture a Sainte Denise.
60,AB-000291,2025-10-20 17:42:21,12247.14,DECLARE,Tempete ayant arrache une partie de la toiture a Germain-sur-Humbert.
61,AB-000297,2026-07-12 08:39:53,5785.58,REJETE,Bris de glace suite a un impact de gravillon sur autoroute.
